Hour of day	Day	Device	Campaign state	Campaign	Budget	Status	Campaign Type	Campaign sub-type	Clicks	Impressions	CTR	Avg. CPC	Cost	Avg. position	Converted clicks	Cost / converted click	Click conversion rate	View-through Conv.	Search Impr. share	Search Lost IS (rank)	Search Lost IS (budget)	Content Impr. share	Content Lost IS (rank)	Content Lost IS (budget)							
20	3/11/2015	Tablets with full browsers	Enabled	Personal Leasing Quotes	15	campaign budget constrained	Search Only	Standard	0	0	0.00%	0	0	0	0	0	0.00%	0	< 10%	0.00%	> 90%	 --	 --	 --							
22	2/4/2015	Tablets with full browsers	paused	VW	10.1	campaign paused	Search Only	All features	0	1	0.00%	0	0	2	0	0	0.00%	0	50.00%	50.00%	0.00%	 --	 --	 --							
23	3/28/2015	Tablets with full browsers	Enabled	Personal Leasing Quotes	15	campaign budget constrained	Search Only	Standard	0	0	0.00%	0	0	0	0	0	0.00%	0	< 10%	0.00%	> 90%	 --	 --	 --							
21	1/2/2015	Tablets with full browsers	Enabled	Personal Leasing Quotes	15	campaign budget constrained	Search Only	Standard	0	0	0.00%	0	0	0	0	0	0.00%	0	< 10%	0.00%	> 90%	 --	 --	 --							
9	1/6/2015	Mobile devices with full browsers	paused	VW	10.1	campaign paused	Search Only	All features	0	1	0.00%	0	0	3	0	0	0.00%	0	100.00%	0.00%	0.00%	 --	 --	 --							
6	3/17/2015	Mobile devices with full browsers	Enabled	Personal Leasing Quotes	15	campaign budget constrained	Search Only	Standard	0	1	0.00%	0	0	2	0	0	0.00%	0	< 10%	0.00%	> 90%	 --	 --	 --							
12	3/26/2015	Mobile devices with full browsers	Enabled	Personal Leasing Quotes	15	campaign budget constrained	Search Only	Standard	0	0	0.00%	0	0	0	0	0	0.00%	0	< 10%	0.00%	> 90%	 --	 --	 --							
16	1/9/2015	Tablets with full browsers	Enabled	Personal Leasing Quotes	15	campaign budget constrained	Search Only	Standard	0	4	0.00%	0	0	2.5	0	0	0.00%	0	100.00%	0.00%	0.00%	 --	 --	 --							
9	1/15/2015	Mobile devices with full browsers	paused	VW	10.1	campaign paused	Search Only	All features	0	3	0.00%	0	0	2.7	0	0	0.00%	0	100.00%	0.00%	0.00%	 --	 --	 --							
14	2/26/2015	Mobile devices with full browsers	Enabled	Personal Leasing Quotes	15	campaign budget constrained	Search Only	Standard	1	3	33.33%	0.79	0.79	1	0	0	0.00%	0	100.00%	0.00%	0.00%	 --	 --	 --							
4	3/28/2015	Computers	Enabled	Personal Leasing Quotes	15	campaign budget constrained	Search Only	Standard	0	2	0.00%	0	0	3	0	0	0.00%	0	< 10%	3.12%	> 90%	 --	 --	 --							
19	1/7/2015	Computers	paused	Ford KA	5	campaign paused	Search Only	All features	0	5	0.00%	0	0	6.6	0	0	0.00%	0	71.43%	28.57%	0.00%	 --	 --	 --							
21	3/26/2015	Computers	Enabled	Audi	5	campaign budget constrained	Search Only	All features	0	3	0.00%	0	0	7.7	0	0	0.00%	0	100.00%	0.00%	0.00%	 --	 --	 --							
10	1/3/2015	Tablets with full browsers	paused	Ford KA	5	campaign paused	Search Only	All features	0	0	0.00%	0	0	0	0	0	0.00%	0	< 10%	> 90%	0.00%	 --	 --	 --							
19	3/29/2015	Mobile devices with full browsers	Enabled	Audi	5	campaign budget constrained	Search Only	All features	0	0	0.00%	0	0	0	0	0	0.00%	0	< 10%	0.00%	> 90%	 --	 --	 --							
1	3/11/2015	Mobile devices with full browsers	Enabled	Audi	5	campaign budget constrained	Search Only	All features	0	1	0.00%	0	0	2	0	0	0.00%	0	100.00%	0.00%	0.00%	 --	 --	 --							
14	3/28/2015	Tablets with full browsers	Enabled	Audi	5	campaign budget constrained	Search Only	All features	0	4	0.00%	0	0	4	0	0	0.00%	0	100.00%	0.00%	0.00%	 --	 --	 --							
0	3/29/2015	Tablets with full browsers	Enabled	Audi	5	campaign budget constrained	Search Only	All features	0	1	0.00%	0	0	1	0	0	0.00%	0	100.00%	0.00%	0.00%	 --	 --	 --							
9	1/19/2015	Computers	paused	Ford KA	5	campaign paused	Search Only	All features	0	5	0.00%	0	0	7.4	0	0	0.00%	0	35.71%	64.29%	0.00%	 --	 --	 --							
