Keyword state	Keyword	Campaign	Ad group	Status	Max. CPC	Match Type	Clicks	Impressions	CTR	Avg. CPC	Cost	Avg. position	Quality score	Converted clicks	Cost / converted click	Click conversion rate	Click Assisted Conv.	Impr. Assisted Conv.	Search Impr. share	Search Exact match IS	Search Lost IS (rank)
enabled	used cars lease	Generic Car Leasing	Used Car Leasing	eligible	auto: 0.22	Broad	4	51	7.84%	0.27	1.07	4.4	10	0	0	0.00%	0	0	< 10%	40.32%	0.92%
paused	range rover	RangeRover	2.7 TDV6 S	campaign paused	0.55	Broad	0	0	0.00%	0	0	0	7	0	0	0.00%	0	0	 --	 --	 --
paused	vehicle leasing company	Generic Vehicle Leasing	Vehicle Leasing	campaign paused	1.5	Broad	0	0	0.00%	0	0	0	7	0	0	0.00%	0	0	 --	 --	 --
paused	"""leasing bad credit"""	Bad Credit Leasing	Bad Credit	paused	1.3	Phrase	0	0	0.00%	0	0	0	10	0	0	0.00%	0	0	 --	 --	 --
enabled	cheap renault lease	Renault Grand Scenic	Renault Grand Scenic	campaign paused	0.59	Broad	0	0	0.00%	0	0	0	6	0	0	0.00%	0	0	 --	 --	 --
paused	focus on lease	Ford	Ford Focus (1.6 TDCI)	campaign paused	0.89	Broad	0	0	0.00%	0	0	0	7	0	0	0.00%	0	0	 --	 --	 --
enabled	"""cheap vehicle lease"""	Generic Vehicle Leasing	Vehicle Leasing	campaign paused	0.89	Phrase	0	0	0.00%	0	0	0	8	0	0	0.00%	0	0	 --	 --	 --
paused	"""lease vauxhall insignia"""	Vauxhall	Vauxhall Insignia (Petrol)	paused	1.2	Phrase	49	129	37.98%	0.8	38.97	1.5	8	1	38.97	2.04%	0	0	100.00%	100.00%	0.00%
enabled	"""zero deposit car lease"""	No Deposit Deals	No Deposit Deals	eligible	0.99	Phrase	16	89	17.98%	0.9	14.38	1.8	10	0	0	0.00%	0	0	91.75%	89.87%	0.00%
removed	no deposit leasing	No Deposit Deals	No Deposit Deals	removed	 --	Broad	25	155	16.13%	0.74	18.41	2	0	0	0	0.00%	0	0	29.01%	100.00%	2.48%
enabled	leasing Shogan	Mitsubishi	Mitsubishi Shogan	campaign paused	0.89	Broad	0	0	0.00%	0	0	0	4	0	0	0.00%	0	0	 --	 --	 --
paused	"""Audi A4 2.0 TDI Sport"""	Audi	Audi A3	paused	0.99	Phrase	0	0	0.00%	0	0	0	3	0	0	0.00%	0	0	 --	 --	 --
paused	Ford Focus 1.8 TDCI	Ford	Ford Focus (1.6 TDCI)	campaign paused	0.89	Broad	0	0	0.00%	0	0	0	3	0	0	0.00%	0	0	 --	 --	 --
enabled	"""lease megane"""	Renault	Renault Megane	campaign paused	1	Phrase	0	0	0.00%	0	0	0	5	0	0	0.00%	0	0	 --	 --	 --
paused	"""car lease quick"""	Bad Credit Leasing	Quick Cars	paused	0.6	Phrase	0	0	0.00%	0	0	0	9	0	0	0.00%	0	0	 --	 --	 --
enabled	Volkswagen Tiguan	Volkswagen Tiguan	Volkswagen Tiguan	campaign paused	0.5	Broad	0	0	0.00%	0	0	0	6	0	0	0.00%	0	0	 --	 --	 --
enabled	"""van leasing cheap"""	Vans	No Deposit Van Leasing	campaign paused	auto: 2.78	Phrase	0	0	0.00%	0	0	0	9	0	0	0.00%	0	0	 --	 --	 --
