Ad state	Ad	Description line 1	Description line 2	Display URL	Destination URL	Final URL	Mobile final URL	Tracking template	Custom parameter	Campaign	Ad group	Status	Labels	Campaign Type	Campaign sub-type	Clicks	Impressions	CTR	Avg. CPC	Cost	Avg. position	Converted clicks	Cost / converted click	Click conversion rate	View-through Conv.
removed	Lease SeatIbiza £128	Hatch 1.4 SE Copa 5dr AC CD	"2 In stock now, Bluetooth, Alloys"	www.hippoleasing.co.uk	http://www.hippoleasing.co.uk/ex-demo-lease-cars/seat/ibiza-hatchback-1.4-se-copa-5dr-1020777					Seat	Seat Ibiza	campaign paused	 --	Search Only	All features	0	0	0.00%	0	0	0	0	0	0.00%	0
paused	Ad name: Modular design ad created 12/6/13; 336 x 280;			hippoleasing.co.uk	http://hippoleasing.co.uk					Remarketing	Remarketing	paused	 --	Display Only	Remarketing	0	0	0.00%	0	0	0	0	0	0.00%	0
paused	Lease PeugeotBipper £128	Zero Deposit. Diesel. Unlim Mileage	Own the van at the end of the lease	www.hippoleasing.co.uk	http://www.hippoleasing.co.uk/ex-demo-lease-vans/peugeot/bipper-diesel-1.4-hdi-70-s-969939					Vans	Peugeot Van (Partner)	campaign paused	 --	Search Only	All features	0	0	0.00%	0	0	0	0	0	0.00%	0
paused	Zero Deposit Car Leasing	Cars from £80pm with no deposit	"All In Stock, delivery in days."	www.hippoleasing.co.uk	http://www.hippoleasing.co.uk/ex-demo-no-deposit-lease-cars					No Deposit Deals	No Deposit Deals	paused	 --	Search Only	All features	109	537	20.30%	0.85	92.22	1.8	2	46.11	1.83%	0
removed	Ad name: Modular design ad created 12/6/13; 320 x 50;			hippoleasing.co.uk	http://hippoleasing.co.uk					Remarketing	Remarketing	removed	 --	Display Only	Remarketing	0	0	0.00%	0	0	0	0	0	0.00%	0
removed	Lease SeatIbiza £134	"Coupe 1.2 S 3dr AC, in stock"	"Delivery in days. Bluetooth, Alloys"	www.hippoleasing.co.uk	http://www.hippoleasing.co.uk/personal-lease-cars/seat/ibiza-coupe/ibiza-sport-coupe-12-s-3dr-ac-15560698					Seat	Seat Ibiza	campaign paused	 --	Search Only	All features	0	0	0.00%	0	0	0	0	0	0.00%	0
removed	Lease Insignia £149pm	"Ex Demo 1.8i 16V 5dr, in Stock"	"ABS,Trip Comp, Climate/Cruise"	www.hippoleasing.co.uk		http://www.hippoleasing.co.uk/ex-demo-lease-cars/vauxhall/insignia-hatchback/insignia-hatchback-18i-16v-exclusiv-5dr-7147044				Vauxhall	Vauxhall Insignia (Petrol)	removed	 --	Search Only	All features	0	0	0.00%	0	0	0	0	0	0.00%	0
enabled	BMW120d Sport £262pm	"Sports Model, Automatic, Alloys,"	"Only 4 Left in Stock, Fast Delivery"	www.hippoleasing.co.uk	http://www.hippoleasing.co.uk/ex-demo-lease-cars/bmw/1-series-hatchback/1-series-diesel-hatchback-120d-m-sport-5dr-step-auto-12955654					BMW	BMW 1series	campaign paused	 --	Search Only	All features	0	0	0.00%	0	0	0	0	0	0.00%	0
enabled	Ex Demo No Deposit Lease	Range of cars in stock from £85pm	Get a fast free quote online now.	www.hippoleasing.co.uk	http://www.hippoleasing.co.uk/ex-demo-no-deposit-lease-cars					No Deposit	No deposit	campaign paused	 --	Search Only	All features	0	0	0.00%	0	0	0	0	0	0.00%	0
removed	VauxhallInsignia £159pm	Diesel Hatch Special Offer SRi	"160 BHP, Air Con, CD, Auto, Alloys"	www.hippoleasing.co.uk	http://www.hippoleasing.co.uk/ex-demo-lease-cars/vauxhall/insignia-diesel-hatchback-2.0-cdti-sri-160-5dr-auto-846352					Vauxhall	Vauxhall Insignia (Petrol)	removed	 --	Search Only	All features	0	0	0.00%	0	0	0	0	0	0.00%	0
