Match Type	Search term	Added/Excluded	Campaign	Ad group	Keyword	Clicks	Impressions	CTR	Avg. CPC	Cost	Avg. position	Converted clicks	Cost / converted click	Click conversion rate
broad	ford ka personal lease	None	Ford KA	KA (1.2 Edge)	lease ka	1	20	5.00%	0.89	0.89	3.8	0	0	0.00%
exact (close variant)	car lease deals personal	None	Personal Leasing Quotes	Quick Leasing Quote (Generic)	"""car leasing deals personal"""	95	421	22.57%	0.79	74.58	1.4	1	74.58	1.05%
broad	lease cars no deposit	Added	No Deposit Deals	No Deposit Deals	lease a car no deposit	11	39	28.21%	0.57	6.28	2.5	0	0	0.00%
broad	used car personal lease	None	Generic Car Leasing	Used Car Leasing	used car lease	1	2	50.00%	0.21	0.21	2	0	0	0.00%
broad	hippo vehicle	None	Hippo Leasing	Hippo Leasing (Generic)	hippo vehicle leasing	1	4	25.00%	0.17	0.17	1	0	0	0.00%
phrase	audi personal car leasing uk	None	Hippo Leasing	Hippo Leasing (Generic)	"""car leasing uk"""	1	2	50.00%	0.94	0.94	1.5	0	0	0.00%
broad	focus st bad credit leasing	None	Bad Credit Leasing	Bad Credit	bad credit car leasing	1	1	100.00%	0.96	0.96	3	0	0	0.00%
broad	lease a car for under 50 a month	None	Generic Car Leasing	Used Car Leasing	used car for lease	1	1	100.00%	0.23	0.23	2	0	0	0.00%
broad (session-based)	blue hippo leasing	None	Hippo Leasing	Hippo Leasing (Generic)	hippo vehicle leasing	1	1	100.00%	0.25	0.25	1	0	0	0.00%
broad	cheap business car leasing with bad credit	None	Bad Credit Leasing	Bad Credit	bad credit car leasing	1	2	50.00%	1.2	1.2	5.5	0	0	0.00%
broad	hippo car lease	Added	No Deposit Deals	No Deposit Deals	lease a car no deposit	2	2	100.00%	0.88	1.77	1.5	0	0	0.00%
broad	insignia diesel for sale	None	Vauxhall	Vauxhall Insignia Both	vauxhall insignia deals	1	2	50.00%	0.86	0.86	2.5	0	0	0.00%
broad (session-based)	car leasing deals sheffield	None	Bad Credit Leasing	Bad Credit	lease cars bad credit	1	1	100.00%	1.27	1.27	1	0	0	0.00%
broad	car lease deals uk	None	Generic Car Leasing	Car leasing	company car lease	1	1	100.00%	0.83	0.83	2	0	0	0.00%
broad	cheapest car lease uk	None	No Deposit Deals	No Deposit Deals	cheap car leasing deals	1	1	100.00%	1.05	1.05	1	0	0	0.00%
broad	can i get a lease with bad credit	None	Bad Credit Leasing	Bad Credit	lease cars bad credit	1	1	100.00%	0.89	0.89	3	0	0	0.00%
broad (session-based)	second hand cars long eaton	None	Bad Credit Leasing	Bad Credit	bad credit car leasing	1	1	100.00%	0.99	0.99	2	0	0	0.00%
broad	in stock personal car lease	None	Bad Credit Leasing	Quick Cars	car lease in stock	2	2	100.00%	0.32	0.63	1.5	0	0	0.00%
broad	hippo leasing bad credit	None	Bad Credit Leasing	Bad Credit	leasing cars with bad credit	1	4	25.00%	0.89	0.89	1.8	1	0.89	100.00%
phrase	leasing used cars glasgow	None	Generic Car Leasing	Used Car Leasing	leasing used cars	1	1	100.00%	0.28	0.28	2	0	0	0.00%
broad	hippo leasing a car	None	Hippo Leasing	Hippo Leasing (Generic)	hippo car lease	1	1	100.00%	0.28	0.28	1	0	0	0.00%
broad	car leasing self employed	None	Generic Car Leasing	Used Car Leasing	used car lease deals	1	1	100.00%	0.21	0.21	4	0	0	0.00%
phrase	personal car leasing insignia	None	Vauxhall	Vauxhall Insignia (Petrol)	"""leasing insignia"""	2	2	100.00%	0.68	1.37	1.5	0	0	0.00%
broad	car leasing nil nedosit	None	No Deposit Deals	No Deposit Deals	lease a car no deposit	1	1	100.00%	0.68	0.68	1	0	0	0.00%
phrase	bmw 1 series lease no deposit	None	No Deposit Deals	No Deposit Deals	"""lease no deposit"""	2	4	50.00%	0.9	1.79	1.3	0	0	0.00%
broad	car finance poor credit history leasing	None	Bad Credit Leasing	Bad Credit	lease car bad credit	1	1	100.00%	1.26	1.26	2	0	0	0.00%
broad	lease a car falkirk no deposit	None	No Deposit Deals	No Deposit Deals	lease a car no deposit	1	1	100.00%	0.56	0.56	1	0	0	0.00%
broad	cheap car leasing deals no deposit	None	No Deposit Deals	No Deposit Deals	lease a car no deposit	42	249	16.87%	0.5	21.2	2.8	1	21.2	2.38%
broad (session-based)	lease a car	None	No Deposit Deals	No Deposit Deals	lease a car no deposit	5	24	20.83%	0.55	2.77	4.2	0	0	0.00%
broad	car finance for bad credit no guarantor	None	Bad Credit Leasing	Bad Credit	lease car bad credit	1	1	100.00%	1.27	1.27	7	0	0	0.00%
broad	no deposit private car leasing uk	None	No Deposit Deals	No Deposit Deals	cheapest car lease deals no deposit	1	1	100.00%	0.75	0.75	1	0	0	0.00%
broad	bad credit car garages in bedfordshire	None	Bad Credit Leasing	Bad Credit	lease car bad credit	1	1	100.00%	0.71	0.71	4	0	0	0.00%
broad	stable car leasing	None	Bad Credit Leasing	Quick Cars	Quick delivery car leasing	1	22	4.55%	0.6	0.6	2.3	0	0	0.00%
broad	car finance for private hire drivers	None	Bad Credit Leasing	Bad Credit	lease car bad credit	1	2	50.00%	0.96	0.96	7.5	0	0	0.00%
broad	lease company car	None	Generic Car Leasing	Car leasing	car lease financing	1	14	7.14%	0.77	0.77	5.8	0	0	0.00%
broad	leasecar	None	Bad Credit Leasing	Quick Cars	quick car lease	2	11	18.18%	0.46	0.92	1.6	1	0.92	50.00%
broad	car leasing for poor credit uk	None	Bad Credit Leasing	Bad Credit	lease cars bad credit	1	1	100.00%	1.15	1.15	3	0	0	0.00%
broad	bad credit van lease	None	Bad Credit Leasing	Bad Credit	bad credit car leasing	1	2	50.00%	1.09	1.09	4.5	0	0	0.00%
broad	lease vauxhall corsa	None	Vauxhall Corsa	Corsa No deposit	lease corsa no deposit	4	14	28.57%	0.88	3.54	2.6	0	0	0.00%
exact	lease vauxhall corsa	Added	Vauxhall Corsa	Vauxhall Corsa (1.4 SXI)	"""lease vauxhall corsa"""	3	125	2.40%	0.94	2.83	3.4	0	0	0.00%
phrase (close variant)	mercedes c class no deposit lease	None	No Deposit Deals	No Deposit Deals	"""no deposit leasing"""	1	1	100.00%	0.88	0.88	2	0	0	0.00%
broad	car lease low deposit	None	No Deposit Deals	No Deposit Deals	lease a car no deposit	6	41	14.63%	0.5	2.97	3.1	0	0	0.00%
broad	car lease for bad credit uk	None	Bad Credit Leasing	Bad Credit	bad credit car leasing	1	1	100.00%	1.39	1.39	6	0	0	0.00%
broad	low cost lease cars no deposit uk	None	No Deposit Deals	No Deposit Deals	zero deposit car lease	1	1	100.00%	1.04	1.04	1	0	0	0.00%
broad	car leasing no credit history	None	Bad Credit Leasing	Bad Credit	bad credit car leasing	0	4	0.00%	0	0	2.3	0	0	0.00%
broad	personal lease cars in stock	None	Bad Credit Leasing	Quick Cars	quick car lease	4	10	40.00%	0.55	2.19	2.2	0	0	0.00%
broad	what is a cheap car to lease	None	No Deposit Deals	No Deposit Deals	cheap car leasing deals	1	1	100.00%	0.87	0.87	1	0	0	0.00%
phrase (close variant)	reverse car lease uk	None	Hippo Leasing	Hippo Leasing (Generic)	"""car leasing uk"""	1	1	100.00%	0.82	0.82	1	0	0	0.00%
broad	leasing a second hand car	None	Generic Car Leasing	Used Car Leasing	second hand car leasing	3	8	37.50%	0.22	0.66	1.5	0	0	0.00%
broad	car business lease no deposit	None	No Deposit Deals	No Deposit Deals	cheap car lease no deposit	1	1	100.00%	0.93	0.93	2	0	0	0.00%
broad	car deals with no deposit	None	No Deposit Deals	No Deposit Deals	lease a car no deposit	11	104	10.58%	0.53	5.78	3.9	1	5.78	9.09%
broad	guaranteed car finance northern ireland	None	Bad Credit Leasing	Bad Credit	bad credit car leasing	1	14	7.14%	0.94	0.94	5.1	0	0	0.00%
broad	used audi cars for lease under 150 a month	None	Generic Car Leasing	Used Car Leasing	used lease cars	1	1	100.00%	0.23	0.23	4	0	0	0.00%
broad (session-based)	corsa lease deals	None	Vauxhall Corsa	Corsa No deposit	lease corsa no deposit	0	2	0.00%	0	0	2.5	0	0	0.00%
broad	new ford ka deals	None	Ford KA	KA (1.2 Edge)	ford ka leasing	2	71	2.82%	0.63	1.26	5.2	0	0	0.00%
broad	guaranteed car lease	None	Generic Car Leasing	Used Car Leasing	used car lease	1	1	100.00%	0.21	0.21	7	0	0	0.00%
broad	best car leasing deals	None	Generic Car Leasing	Used Car Leasing	used car leasing deals	1	8	12.50%	0.78	0.78	8.4	0	0	0.00%
phrase	audi a3 lease deal	None	Audi	Audi A3	"""audi a3 lease"""	1	2	50.00%	0.86	0.86	1.5	0	0	0.00%
broad (session-based)	guaranteed car finance	None	Bad Credit Leasing	Bad Credit	lease car bad credit	1	1	100.00%	0.88	0.88	3	0	0	0.00%
broad	driving instructir car lease bad credit	None	Bad Credit Leasing	Bad Credit	leasing cars with bad credit	2	1	200.00%	1.02	2.04	1	0	0	0.00%
broad	vauxhall insignia offers	None	Vauxhall	Vauxhall Insignia (Petrol)	vauxhall insignia lease	1	1	100.00%	0.66	0.66	2	1	0.66	100.00%
broad	12 month no deposit car leasing in uk under 1000	None	No Deposit Deals	No Deposit Deals	lease a car no deposit	1	1	100.00%	0.6	0.6	4	0	0	0.00%
